id,name,continente,pais_produccion,ciudad_produccion,centro_produccion,titular,codigo_epd,producto,producto_asignado,compania_verificadora,referencia,ruta_de_produccion,contenido_reciclado_pct,gwp_total_kg_co2e_t,archivo,caracteristicas_funcionales,lat,lon
corrugated-steel-b500sd-maia-bregenepd000140,Corrugated steel B500SD - Maia - BREGENEPD000140,EUROPA,Portugal,Maia,"SN Maia - Siderurgia Nacional, S.A.",UK CARES,BREGENEPD000140,Barras de refuerzo de acero,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,98.8,416,BREGENEPD000140.pdf,"Barra de acero de refuerzo para hormigón; EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",41.24254,-8.60257
corrugated-steel-b500sd-seixal-bregenepd000141,Corrugated steel B500SD - Seixal - BREGENEPD000141,EUROPA,Portugal,Seixal,"SN Seixal - Siderurgia Nacional, S.A.",UK CARES,BREGENEPD000141,Barras de refuerzo de acero,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,97,401,BREGENEPD000141.pdf,"Barra de acero de refuerzo para hormigón; EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",38.61173,-9.10371
corrugated-steel-b500sd-maia-bregenepd000142,Corrugated steel B500SD - Maia - BREGENEPD000142,EUROPA,Portugal,Maia,MEGASA – Siderúrgica da Maia,UK CARES,BREGENEPD000142,Barras de refuerzo de acero,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,98.8,424,BREGENEPD000142.pdf,"Barra de acero de refuerzo para hormigón; EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",41.24254,-8.60257
corrugated-steel-b500sd-dubai-bregenepd000180,Corrugated steel B500SD - Dubai - BREGENEPD000180,MEDIO ORIENTE,United Arab Emirates,Dubai,"Conares Metal Supply Ltd – Jebel Ali South, Dubai",UK CARES,BREGENEPD000180,Barras de refuerzo de acero,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A1:2013,EAF,25.2,964,BREGENEPD000180.pdf,Barra de acero de refuerzo para hormigón; obtenida desde scrap + EAF + laminación en caliente; el extracto visible confirma el uso como reinforcing steel bar y la misma tipología funcional de las fichas CARES/BRE de rebar.,25.0657,55.17128
corrugated-steel-b500sd-dilovas-kocaeli-bregenepd000181,"Corrugated steel B500SD - Dilovası, Kocaeli - BREGENEPD000181",EUROPA / ASIA,Turkey,"Dilovası, Kocaeli",Çolakoğlu Metalurji A.S. (miembro CARES),Çolakoğlu Metalurji A.S.,BREGENEPD000181,Carbon Steel Reinforcing Bar,Corrugated steel B500SD,Pat Hermon,EN 15804:2012+A2:2019; BRE PCR PN 514 Rev 3.1,EAF,92,731,BREGENEPD000181.pdf,Barra de acero de refuerzo para hormigón; obtenida de scrap + EAF + hot rolling; 1 tonne of carbon steel reinforcing bars; además se identifica claramente la tipología funcional como reinforcing steel bar.,40.77972,29.535
corrugated-steel-b500sd-kryvyi-rih-bregenepd000198,Corrugated steel B500SD - Kryvyi Rih - BREGENEPD000198,EUROPA,Ukraine,Kryvyi Rih,ArcelorMittal Kryvyi Rih,UK CARES,BREGENEPD000198,Carbon Steel Reinforcing Bar,Corrugated steel B500SD,Pat Hermon,EN 15804:2012+A2:2019; BRE PN 514 Rev 3.0,BF/BOF,16.4,2470,BREGENEPD000198.pdf,"Rebar para aportar resistencia a tracción en elementos de hormigón armado; producción BF/BOF + hot rolling; densidad 7850 kg/m³; weldability ≤ 0,50 Ceq; fy ≥ 500 N/mm²; fu ≥ 540 N/mm²; Ts/Ys ≥ 1,08; Agt ≥ 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass.",47.90966,33.38044
corrugated-steel-b500sd-sohar-bregenepd000230,Corrugated steel B500SD - Sohar - BREGENEPD000230,MEDIO ORIENTE,Omán,Sohar,Jindal Shadeed Iron and Steel LLC,UK CARES,BREGENEPD000230,Barras de acero corrugado para armaduras (rebars),Corrugated steel B500SD,Verificación externa: Pat Hermon,EN 15804:2012+A1:2013; BRE Environmental Profiles 2013 PCR,DRI + EAF,4.7,1640,BREGENEPD000230.pdf,"Barra de acero de refuerzo para hormigón; obtenida de DRI + EAF + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; el extracto visible muestra también surface geometry (relative rib area).",24.34745,56.70937
corrugated-steel-b500sd-sharjah-bregenepd000266,Corrugated steel B500SD - Sharjah - BREGENEPD000266,MEDIO ORIENTE,United Arab Emirates,Sharjah,Hamriyah Steel FZC,UK CARES,BREGENEPD000266,Barras de acero corrugado para armaduras (rebars),Corrugated steel B500SD,Verificación externa: Pat Hermon,EN 15804:2012+A2:2019; BRE PCR PN 514 Rev 3.0,DRI + EAF,11.3,2320,BREGENEPD000266.pdf,"Barra de acero de refuerzo para hormigón; DRI + EAF + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",25.33737,55.41206
corrugated-steel-b500sd-tekirdag-bregenepd000276,Corrugated steel B500SD - Tekirdag - BREGENEPD000276,EUROPA / ASIA,Turkey,Tekirdag,Kaptan Demir Çelik End. ve Tic. A.Ş.,Kaptan Demir Celik,BREGENEPD000276,Carbon steel reinforcing bars,Corrugated steel B500SD,BRE Global – Pat Hermon,EN 15804:2012+A2:2019,EAF,97.7,740,BREGENEPD000276.pdf,"Barra de acero de refuerzo para hormigón; EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",41.0731403,27.4102013
corrugated-steel-b500sd-rotherham-bregenepd000341,Corrugated steel B500SD - Rotherham - BREGENEPD000341,EUROPA,Reino Unido,Rotherham,Liberty Speciality Steels (Rotherham Steel & Bar),Speciality Steel UK Ltd,BREGENEPD000341,Carbon steel reinforcing bars,Corrugated steel B500SD,BRE Global – Pat Hermon,EN 15804:2012+A1:2013,EAF,97.9,1220,BREGENEPD000341.pdf,"Barra de acero de refuerzo para hormigón; obtenida de scrap + EAF + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); límite elástico mín. 500 N/mm²; la ficha visible indica además resistencia a tracción, coherente con la familia CARES/BRE de rebar.",53.41667,-1.25
corrugated-steel-b500sd-dammam-bregenepd000373,Corrugated steel B500SD - Dammam - BREGENEPD000373,MEDIO ORIENTE,Saudi Arabia,Dammam,Al Ittefaq Steel Products Company,Al Ittefaq Steel,BREGENEPD000373,Carbon steel reinforcing bars,Corrugated steel B500SD,BRE Global (verificación externa por Pat Hermon),EN 15804:2012+A1:2013,EAF,39.2,977,BREGENEPD000373.pdf,"Barra de acero de refuerzo para hormigón; scrap + EAF + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada mediante relative rib area fR = 0,040 (>6–12 mm) y 0,056 (>12 mm); re-bend: pass; fatigue: pass.",26.43442,50.10326
corrugated-steel-b500sd-riad-bregenepd000549,Corrugated steel B500SD - Riad - BREGENEPD000549,MEDIO ORIENTE,Saudi Arabia,Riad,Watania Steel,Watania Steel,BREGENEPD000549,Carbon steel reinforcing bars,Corrugated steel B500SD,BRE Global (verificación externa por Pat Hermon),EN 15804:2012+A2:2019,Horno de inducción (chatarra) → laminación,98.3,767,BREGENEPD000549.pdf,"Barra de acero de refuerzo para hormigón; obtenida de scrap + induction furnace + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",24.68773,46.72185
corrugated-steel-b500sd-jubail-bregenepd000567,Corrugated steel B500SD - Jubail - BREGENEPD000567,MEDIO ORIENTE,Saudi Arabia,Jubail,Saudi Iron & Steel Co. (HADEED),Saudi Iron & Steel Co. (HADEED),BREGENEPD000567,Barras corrugadas (acero carbono),Corrugated steel B500SD,BRE Global (verif. externo: Pat Hermon),EN 15804:2012+A2:2019,DRI + EAF,13.7,2240,BREGENEPD000567.pdf,"Barra de acero de refuerzo para hormigón; obtenida de DRI + EAF + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",27.012563,49.658128
corrugated-steel-b500sd-dubai-bregenepd000583,Corrugated steel B500SD - Dubái - BREGENEPD000583,MEDIO ORIENTE,United Arab Emirates,Dubái,Conares Metal Supply Ltd (Jebel Ali South),Conares Metal Supply Ltd,BREGENEPD000583,Barras corrugadas (acero carbono),Corrugated steel B500SD,BRE Global (verif. externo: Pat Hermon),EN 15804:2012+A2:2019,EAF,79.8,941,BREGENEPD000583.pdf,"Barra de acero de refuerzo para hormigón; obtenida de scrap + EAF + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",25.0657,55.17128
corrugated-steel-b500sd-alejandria-bregenepd000585,Corrugated steel B500SD - Alejandría - BREGENEPD000585,ÁFRICA,Egypt,Alejandría,Al Ezz Dekheila Steel Co. – EZDK,Al Ezz Dekheila Steel Co. – EZDK,BREGENEPD000585,Barras corrugadas (acero carbono),Corrugated steel B500SD,BRE Global (verif. externo: Pat Hermon),EN 15804:2012+A2:2019,DRI + EAF,29.3,2270,BREGENEPD000585.pdf,"Barra de acero de refuerzo para hormigón; obtenida de DRI + EAF + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",31.205753,29.924526
corrugated-steel-b500sd-brescia-bregenepd000598,Corrugated steel B500SD - Brescia - BREGENEPD000598,EUROPA,Italy,Brescia,Alfa Acciai S.p.A.,Alfa Acciai,BREGENEPD000598,Barras de acero para refuerzo,Corrugated steel B500SD,BRE Global (verificación externa: Pat Hermon),EN 15804+A2:2019,EAF,97.7,372,BREGENEPD000598.pdf,"Barra de acero de refuerzo para estructuras de hormigón; ruta EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); límite elástico mín. 500 N/mm² y máx. 650 N/mm²; resistencia a tracción mín. 540 N/mm²; relación Ts/Ys ≥ 1,08; Agt mín. 5%; geometría superficial corrugada mediante área relativa de corruga fR mín. 0,040 (>6–12 mm) y 0,056 (>12 mm); re-bend test: pass; fatigue test: pass.",45.53558,10.21472
corrugated-steel-b500sd-yeda-jeddah-bregenepd000599,Corrugated steel B500SD - Yeda (Jeddah) - BREGENEPD000599,MEDIO ORIENTE,Saudi Arabia,Yeda (Jeddah),Rajhi Steel Company Ltd,Rajhi Steel Company Ltd,BREGENEPD000599,Barras corrugadas (acero carbono),Corrugated steel B500SD,BRE Global (verif. externo: Pat Hermon),EN 15804:2012+A2:2019,EAF,97.8,903,BREGENEPD000599.pdf,"Barra de acero de refuerzo para hormigón; obtenida de scrap + EAF + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",21.54238,39.19797
corrugated-steel-b500sd-rayong-map-ta-phut-bregenepd000603,Corrugated steel B500SD - Rayong (Map Ta Phut) - BREGENEPD000603,ASIA,Tailandia,Rayong (Map Ta Phut),TATA Steel Mfg. (Thailand) – Map Ta Phut,TATA Steel Manufacturing (Thailand) PCL,BREGENEPD000603,Barras de acero de refuerzo (ruta secundaria),Corrugated steel B500SD,BRE Global (ext.: Pat Hermon),EN 15804:2012+A2:2019,EAF,97.5,668,BREGENEPD000603.pdf,"Barra de acero de refuerzo para hormigón; obtenida de scrap + EAF + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",12.68095,101.25798
corrugated-steel-b500sd-suez-bregenepd000638,Corrugated steel B500SD - Suez - BREGENEPD000638,ÁFRICA,Egypt,Suez,"Suez Steel Company – Etaqa, Suez",Suez Steel Company (CARES),BREGENEPD000638,Barras de acero de refuerzo (ruta DRI),Corrugated steel B500SD,BRE Global (ext.: Roger Connick),EN 15804+A2 (PN514 3.1),DRI + EAF,20.3,2390,BREGENEPD000638.pdf,"Barra de acero de refuerzo para hormigón; obtenida de DRI + EAF + hot rolling; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",29.97371,32.52627
corrugated-steel-b500sd-tuen-mun-new-territories-hong-kong-bregenepd000641,"Corrugated steel B500SD - Tuen Mun, New Territories (Hong Kong) - BREGENEPD000641",ASIA,Hong Kong,"Tuen Mun, New Territories (Hong Kong)",Shiu Wing Steel Mill,Shiu Wing Steel Ltd (CARES),BREGENEPD000641,Barras de acero de refuerzo (rebar),Corrugated steel B500SD,BRE Global (verificación externa),EN 15804:2012+A2:2019,BF/BOF + EAF (ruta mixta),42.4,2050,BREGENEPD000641.pdf,"Barra de acero de refuerzo para hormigón; fabricada por hot rolling de palanquilla producida por BF/BOF y también por EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",22.395,113.973
corrugated-steel-b500sd-dubai-cares-epd-0016,Corrugated steel B500SD - Dubai - CARES EPD 0016,MEDIO ORIENTE,United Arab Emirates,Dubai,Conares Metal Supply Ltd,UK CARES,CARES EPD 0016,Carbon Steel Reinforcing Bar,Corrugated steel B500SD,CARES (verificación externa: Dr. Jane Anderson),EN 15804+A2:2019,DRI + EAF,28.3,1860,CARES EPD 0016.pdf,"Barra de acero de refuerzo para hormigón; obtenida de scrap + DRI + EAF + hot rolling; uso para aportar resistencia a tracción en elementos de hormigón armado; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",25.0657,55.17128
corrugated-steel-b500sd-sohar-cares-epd-0017,Corrugated steel B500SD - Sohar - CARES EPD 0017,MEDIO ORIENTE,Omán,Sohar,Jindal Steel Sohar LLC,Jindal Steel Sohar LLC,CARES EPD 0017,Carbon Steel Reinforcing Bar,Corrugated steel B500SD,CARES (verificación externa: Dr. Jane Anderson),"EN 15804+A2, ISO 14025",DRI + EAF,16.6,1960,CARES EPD 0017.pdf,"Barra de acero de refuerzo para hormigón; obtenida de DRI + scrap + EAF + hot rolling; usada para aportar resistencia a tracción en elementos de hormigón armado; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",24.34745,56.70937
corrugated-steel-b500sd-chengde-hebei-cares-epd-0032,"Corrugated steel B500SD - Chengde, Hebei - CARES EPD 0032",ASIA,China,"Chengde, Hebei",HBIS Chengde Branch,HBIS Group,CARES EPD 0032,Carbon Steel Reinforcing Bar,Corrugated steel B500SD,CARES (verificación externa: Dr. Jane Anderson),EN 15804+A2:2019,BF/BOF,11.4,2790,CARES EPD 0032.pdf,"Barra de acero de refuerzo para hormigón; fabricada por BF/BOF + hot rolling; uso para aportar resistencia a tracción en miembros estructurales de hormigón; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",40.9507147,117.9567031
corrugated-steel-b500sd-varias-ver-columna-d-globalepd-001008-rev-1,Corrugated steel B500SD - Varias (ver columna D) - GlobalEPD 001‑008 rev.1,EUROPA,Spain / Portugal,Varias (ver columna D),"Grupo MEGASA: Megasa Siderúrgica (Narón, ES); Megasider Zaragoza (Zaragoza, ES); SN Maia (Maia, PT); SN Seixal (Seixal, PT)",Metalúrgica Galaica S.A. (Grupo MEGASA),GlobalEPD 001‑008 rev.1,Acero corrugado laminado en caliente procedente de horno de arco eléctrico empleando energía 100% renovable,Corrugated steel B500SD,AENOR Internacional S.A.U. (verificación externa),EN ISO 14025:2010; UNE 36904‑1:2018; EN 15804:2012+A2:2019,EAF,100,182,GlobalEPD 001-008 rev.1.pdf,El propio título identifica claramente acero corrugado laminado en caliente; procedencia EAF; por denominación encaja de forma directa con rebar/corrugated steel. En el extracto disponible todavía no tengo la tabla completa de propiedades mecánicas.,41.25302,-6.69361
