Código;NombreArchivo;AñoRedacción;Localización geográfica (País y Región);Completitud (Completo / Incompleto);Tipo de documento principal;Tipo de infraestructura;Contenido;Índice;Autor del documento;Propiedad del documento;ID;Título;Año;Clase;Tipo de contenido;Procedimiento administrativo;Notas
OFF0015;(4) Anexo IV (EsIA Aerogeneradores 2014).pdf;2014;España | País Vasco (Bizkaia, Lemoiz/Armintza – BIMEP);Completo;Estudio ambiental;Aerogeneradores marinos flotantes (ensayo/demostración) + fondeos/anclajes + uso de infraestructura BIMEP;"Estudio de Impacto Ambiental (EsIA) y análisis de compatibilidad con la Ley 41/2010 de Protección del Medio Marino para el uso de la infraestructura BiMEP como plataforma de prueba y ensayos de aerogeneradores flotantes offshore, frente a Armintza (T.M. Lemoiz, Bizkaia). El informe (IM14AEROGE; 30/10/2014) describe el proyecto y sus acciones: tipologías de plataformas flotantes (semisumergible, TLP y spar), aerogeneradores de potencia ?5 MW (limitación por amarres de 5 MW), líneas de fondeo en catenaria o tensionadas y distintos tipos de anclajes. Analiza fases de instalación, operación/mantenimiento y desmantelamiento, y localización dentro del polígono BiMEP. Incluye inventario ambiental (medio físico, bentos, avifauna, mamíferos marinos y figuras de protección), identificación y valoración de impactos (sedimentos, bentos, fauna marina, aves y paisaje), jerarquización, medidas preventivas/correctoras/compensatorias, programa de vigilancia (avifauna y ruido subacuático) y compatibilidad con la Estrategia Marina Europea.";"1. Introducción; 2. Objeto de los trabajos; 3. Descripción del proyecto (3.1 Introducción; 3.2 Las plataformas; 3.3 El aerogenerador; 3.4 Líneas de fondeo; 3.5 Anclajes; 3.6 Instalación; 3.7 Operación y mantenimiento; 3.8 Desmantelamiento; 3.9 Localización dentro de bimep); 4. Inventario ambiental (metodología; medio físico; medio biótico: bentos, avifauna, mamíferos marinos; medio socioeconómico y figuras de protección); 5. Identificación y valoración de impactos; 6. Jerarquización de impactos; 7. Medidas; 8. Programa de vigilancia ambiental; 9. Compatibilidad con la Estrategia Marina Europea; 10. Referencias.";AZTI-Tecnalia (Autores: Dr. Juan Bald, Dr. Javier Franco, Dr. Ángel Borja);Biscay Marine Energy Platform S.A. (BiMEP, Grupo EVE);OFF0015-9;Estudio de impacto ambiental (EsIA) y compatibilidad con la Ley 41/2010, de 29 de diciembre, de protección del medio marino, del proyecto de instalación de aerogeneradores en la infraestructura BiMEP;2018;Comercial;Estudio de Impacto Ambiental;"Evaluación de Impacto Ambiental (ordinaria); Evaluación ambiental; Compatibilidad Ley 41/2010; Programa de Vigilancia Ambiental (PVA); Evaluación apropiada Red Natura 2000; Modificación de autorización administrativa";Disponible
OFF0015;(5) Anexo V (PVA Fase Preoperacional).pdf;2014;España | País Vasco (Bizkaia, Lemoiz/Armintza – BIMEP);Completo;Vigilancia / seguimiento ambiental;Plataforma/infraestructura offshore de energías marinas (BiMEP, energía del oleaje);Informe de Vigilancia Ambiental de la fase preoperacional del proyecto Biscay Marine Energy Platform (BiMEP), en el marco del Plan de Vigilancia Ambiental (PVA) de la infraestructura. El documento recoge los trabajos de seguimiento realizados antes de la construcción/puesta en operación, con objeto de establecer un “nivel cero” ambiental para comparar en fases posteriores (constructiva y operativa) y verificar la eficacia de medidas del Documento Ambiental/EsIA. Desarrolla campañas y metodologías para caracterizar: dinámica marina (oleaje y corrientes mediante sensores y transectos ADCP), comunidades bentónicas (sustrato duro/blando y caracterización con ROV), ictiofauna (hidroacústica con balizas M3i y censos visuales con buceo), ruido submarino y mamíferos marinos (PAM con estación autónoma D11-SONS), paisaje y recursos arqueológicos submarinos. Presenta resultados, discusión, conclusiones, referencias y anexo técnico de comunidades bentónicas.;"1. Introducción; 2. Objetivos; 3. Metodología (3.1 Dinámica marina; 3.2 Ictiofauna; 3.3 Ruido y mamíferos marinos; 3.4 Paisaje; 3.5 Comunidades del bentos; 3.6 Recursos arqueológicos submarinos); 4. Resultados (4.1 Dinámica marina; 4.2 Bentos; 4.3 Ictiofauna; 4.4 Ruido y mamíferos marinos; 4.5 Recursos arqueológicos; 4.6 Paisaje); 5. Discusión; 6. Conclusiones; 7. Referencias; 8. Anexo A. Comunidades bentónicas";"AZTI (AZTI-Tecnalia) + INSUB (equipo multidisciplinar; responsable Dr. Juan Bald; revisado Dr. Javier Franco)";Ente Vasco de la Energía (EVE);OFF0015-10;Estudio de impacto ambiental (EsIA) y compatibilidad con la Ley 41/2010, de 29 de diciembre, de protección del medio marino, del proyecto de instalación de aerogeneradores en la infraestructura BiMEP;2018;Comercial;Estudio de Impacto Ambiental;"Evaluación de Impacto Ambiental (ordinaria); Evaluación ambiental; Compatibilidad Ley 41/2010; Programa de Vigilancia Ambiental (PVA); Evaluación apropiada Red Natura 2000; Modificación de autorización administrativa";Disponible
OFF0015;(6) Anexo VI (PVA Fase Construccion).pdf;2014;España | País Vasco (Bizkaia, Lemoiz/Armintza – BIMEP);Completo;Vigilancia / seguimiento ambiental;Plataforma/infraestructura offshore de energías marinas (BiMEP) + instalación de cable submarino;"Informe de Vigilancia Ambiental de la fase de construcción del proyecto BiMEP, centrado en la instalación del cable submarino (código IM13BIMEP; 30/10/2014). El documento evalúa el impacto a corto plazo de las actuaciones de tendido del cable sobre el medio marino, comparando campañas previas y posteriores a la instalación. Describe las maniobras principales (rastrillado “Grapnel Run” y tendido de cuatro cables por buque cablero), así como las limitaciones de enterrado (uso parcial de PHD y enterrado por buzos en el tramo somero). Desarrolla la metodología de seguimiento para sedimentos, ruido submarino (campañas de medición y modelización de propagación), comunidades bentónicas (muestreo y caracterización mediante ROV), ictiofauna (seguimiento hidroacústico con boyas/sondas) y recursos arqueológicos submarinos. Presenta resultados, discusión y conclusiones, incorporando anexos técnicos de campañas, perfiles acústicos y comunidades bentónicas.";"1. Introducción; 2. Objetivos; 3. Instalación del cable submarino; 4. Metodología (4.1 Batimetría; 4.2 Ruido submarino; 4.3 Ictiofauna; 4.4 Comunidades del bentos; 4.5 Recursos arqueológicos submarinos); 5. Resultados (5.1 Sedimentos; 5.2 Ruido submarino; 5.3 Comunidades del bentos; 5.4 Ictiofauna; 5.5 Recursos arqueológicos submarinos); 6. Discusión; 7. Conclusiones; 8. Referencias; Anexos 1–8 (campañas acústicas, ruido de fondo, perfiles velocidad sonido, barcos, propagación, transmisión, comunidades bentónicas, comparación boya D11).";"AZTI (AZTI-Tecnalia) + INSUB + CTN (Equipo: Juan Bald, Carlos Hernández, Iñigo Muxika, Ainhize Uriarte, Idoia Adarraga, Igor Cruz, Mikel Marquiegui, Julián Martínez, José M. Ruiz, Daniel Alonso, Noelia Ortega; Responsable: Pablo Ruiz; Revisado: Dr. Javier Franco)";BIMEP, S.A. (Grupo EVE);OFF0015-11;Estudio de impacto ambiental (EsIA) y compatibilidad con la Ley 41/2010, de 29 de diciembre, de protección del medio marino, del proyecto de instalación de aerogeneradores en la infraestructura BiMEP;2018;Comercial;Estudio de Impacto Ambiental;"Evaluación de Impacto Ambiental (ordinaria); Evaluación ambiental; Compatibilidad Ley 41/2010; Programa de Vigilancia Ambiental (PVA); Evaluación apropiada Red Natura 2000; Modificación de autorización administrativa";Disponible
OFF0015;(7) Anexo VII Natura 2000.pdf;2016;España | País Vasco (Bizkaia, Lemoiz/Armintza – BiMEP);Completo;Estudio ambiental;Aerogeneradores marinos (ensayo/demostración, flotantes) + infraestructura offshore BiMEP + cables submarinos + evaluación Red Natura 2000;"Informe “NATURA 2000. Afección del proyecto de instalación de aerogeneradores en la infraestructura BiMEP a los espacios de la Red Natura 2000” (IM16AEROGE; 05/12/2016), elaborado para Biscay Marine Energy Platform S.A. (BiMEP, Grupo EVE). El documento realiza la evaluación adecuada de repercusiones sobre espacios Red Natura 2000 ante el proyecto de permitir la demostración y ensayo de hasta dos aerogeneradores marinos en BiMEP (alternativa 1) y una alternativa de ubicación en Mutriku, incluyendo alternativa cero. Describe el proyecto (plataformas flotantes, aerogenerador de referencia, líneas de fondeo y anclajes, instalación, operación/mantenimiento, desmantelamiento y cables submarinos) y analiza la posible afección a la ZEPA ES0000490 “Espacio marino de la ría de Mundaka–Cabo de Ogoño” (BiMEP dentro), y espacios colindantes (ZEPA/ZEC Urdaibai, Gaztelugatxe, etc.). Incluye identificación, análisis y valoración de impactos, impactos acumulados, análisis de riesgos, medidas preventivas/correctoras y un programa de seguimiento específico para avifauna (censos, seguimiento quincenal, marcaje y sistemas de detección).";"1. Introducción; 2. Objetivo; 3. Parte I: Información (3.1 Información sobre el proyecto: objeto; plataformas; aerogenerador; líneas de fondeo; anclajes; instalación; operación y mantenimiento; desmantelamiento; cables submarinos; alternativas 0/1/2; 3.2 Información sobre lugares Natura 2000 potencialmente afectados: litoral de BiMEP – ZEPA ES0000490 y otros espacios; litoral de Mutriku); 4. Parte II: Fases de la evaluación ambiental (evaluación adecuada Natura 2000: consultas, impactos por alternativas, acumulados; análisis de riesgos; medidas; conclusión; soluciones alternativas; razones imperiosas; medidas compensatorias; programa seguimiento y vigilancia); 5. Sumario y conclusiones; 6. Referencias.";AZTI (Autores: Juan Bald, Javier Franco, Ángel Borja, Iratxe Menchaca, Germán Rodríguez, Ainhize Uriarte);Biscay Marine Energy Platform S.A. (BiMEP, Grupo EVE);OFF0015-12;Estudio de impacto ambiental (EsIA) y compatibilidad con la Ley 41/2010, de 29 de diciembre, de protección del medio marino, del proyecto de instalación de aerogeneradores en la infraestructura BiMEP;2018;Comercial;Estudio de Impacto Ambiental;"Evaluación de Impacto Ambiental (ordinaria); Evaluación ambiental; Compatibilidad Ley 41/2010; Programa de Vigilancia Ambiental (PVA); Evaluación apropiada Red Natura 2000; Modificación de autorización administrativa";Disponible
OFF0015;(8) Anexo Instalación aerogeneradores marinos en BiMEP- Estudio de Tecnologías Flotantes.pdf;2014;España | País Vasco (Bizkaia, Lemoiz/Armintza – BiMEP);Completo;Permitting / tramitación;Aerogeneradores marinos (flotantes) + plataformas flotantes (semisumergible/Spar/TLP) + fondeos/anclajes;Estudio técnico (“Estudio de tecnologías flotantes”) preparado como anexo para tramitar una modificación no sustancial de la Autorización Administrativa de BiMEP, incorporando la posibilidad de ensayar plataformas flotantes para aerogeneradores marinos. El documento recopila el estado del arte y características de las principales tipologías de soportes flotantes (semisumergible, Spar y TLP), sus ventajas/inconvenientes, rangos de profundidad, accesibilidad y procesos de instalación. Describe en detalle sistemas de fondeo (catenaria, taut/pretensado y semi-taut), líneas (cadena, cable de acero y sintéticos) y tipos de anclajes, con consideraciones de “huella” ambiental en el lecho marino y esfuerzos sobre cable dinámico. Incluye un capítulo específico sobre aerogeneradores offshore (tecnologías, tren de potencia, mercado de suministradores) y anexos con fichas descriptivas de plataformas flotantes.;"1. Objeto; 2. Descripción de plataformas flotantes para aerogeneradores marinos (2.1 Tipologías: semisumergible, spar y TLP; 2.2 Sistemas de fondeo; 2.3 Operación y mantenimiento y accesibilidad; 2.4 Estado del arte; 2.5 Clasificación por TRL); 3. Estado del arte de aerogeneradores marinos (3.1 Características; 3.2 Tecnologías y análisis mercado; 3.3 Mercado de suministradores); 4. Anexos (4.1 Fichas descriptivas de plataformas flotantes); 5. Referencias";"Iberdrola Ingeniería y Construcción (Iberdrola; identificado del documento: IBECUKW-2014-TV-0016 Rev.0)";Ente Vasco de la Energía (EVE) / BiMEP (Grupo EVE);OFF0015-13;Estudio de impacto ambiental (EsIA) y compatibilidad con la Ley 41/2010, de 29 de diciembre, de protección del medio marino, del proyecto de instalación de aerogeneradores en la infraestructura BiMEP;2018;Comercial;Estudio de Impacto Ambiental;"Evaluación de Impacto Ambiental (ordinaria); Evaluación ambiental; Compatibilidad Ley 41/2010; Programa de Vigilancia Ambiental (PVA); Evaluación apropiada Red Natura 2000; Modificación de autorización administrativa";Disponible
OFF0016;P1412-SR-PAD-MEM001-V01.pdf;2019;España | La Rioja (Alfaro);Completo;Permitting / tramitación;Subestación (STR 66/13,2 kV) + acometida subterránea 66 kV + red MT 13,2 kV;Proyecto Técnico Administrativo de la Subestación Transformadora de Reparto STR “LA SENDA” 66/13,2 kV en Alfaro (La Rioja), vinculada al desarrollo del Sector Industrial S.I.-8 “La Senda” para dotar de suministro eléctrico al nuevo polígono y mejorar la calidad de suministro en Alfaro y municipios cercanos. El documento define promotor (SEPES, Entidad Estatal de Suelo) y titular (Iberdrola Distribución Eléctrica, S.A.U.) y describe el diseño, cálculo y especificaciones para autorizaciones administrativas y actualización de licencia municipal de obras. La instalación contempla sistema 66 kV en simple barra partida con equipos compactos HIS aislados en SF6 (posiciones de línea, transformador y partición), acometida subterránea 66 kV (tramo final desde línea D/C), dos transformadores 66/13,8 kV con regulación en carga (alcance inicial 10–12,5 MVA y alcance final 20–25 MVA), celdas 13,2 kV en SF6 en edificios CIMT, resistencias de puesta a tierra, baterías de condensadores (alcance final), servicios auxiliares CA/CC, protecciones, control/telecontrol y telecomunicaciones, puesta a tierra y obra civil.;"Documentos: Doc. 1 Memoria; Doc. 2 Planos; Doc. 3 RBDA (por confirmar); Doc. 4 Presupuesto (por confirmar). Índice Memoria: 1. Antecedentes; 2. Objeto; 3. Hipótesis de partida; 4. Promotor y titular; 5. Normativa; 6. Emplazamiento; 7. Descripción general (alcance inicial/final); 8. Sistema 66 kV (acometida, equipos HIS, TI/TT, pararrayos); 9. Transformadores de potencia; 10. Sistema 13,2 kV (celdas, RPT, baterías condensadores, SSAA); 11. Embarrados; 12. Estructura metálica; 13. Servicios auxiliares; 14. Protecciones y control; 15. Telecomunicaciones y telecontrol; 16. Sistemas complementarios; 17. Puesta a tierra; 18. Obra civil; 19. Organismos afectados; 20. Plazo de ejecución; Anexos 1–6.";Iberdrola Distribución Eléctrica, S.A.U. (Firmante: Ion González del Hoyo);Iberdrola Distribución Eléctrica, S.A.U. (Promotor: SEPES);OFF0016-21;Proyecto técnico administrativo. Subestación transformadora de reparto 66/13,2 kV. STR La Senda (Alfaro, La Rioja);2019;Comercial;Proyecto Técnico;"Autorización Administrativa Previa; Autorización de Construcción; Licencia municipal de obras";Disponible
OFF0016;P1412-SR-PAD-ING001-V01.pdf;2018;España | La Rioja (Alfaro);Completo;Permitting / tramitación;Subestación (STR 66/13,2 kV);Proyecto Técnico Administrativo para la Subestación Transformadora de Reparto 66/13,2 kV “STR La Senda” en Alfaro (La Rioja). El documento fija la base técnica y administrativa para la tramitación y ejecución de la instalación, indicando promotor (SEPES Entidad Estatal de Suelo) y titular (Iberdrola Distribución Eléctrica, S.A.U.). Incluye la memoria y anejos con cálculos justificativos, evaluación de campos magnéticos, definición de instalaciones auxiliares, hidrología y drenajes, y el sistema de telemando y control. Incorpora además estudio de gestión de residuos y el Estudio de Seguridad y Salud, junto con pliego de condiciones, presupuesto y planos. En conjunto, estructura los requisitos de diseño, seguridad y documentación necesaria para autorización y construcción de la subestación de reparto y sus sistemas asociados (servicios auxiliares, control y comunicaciones).;"Índice general: Documento nº1 Memoria (Memoria; Anejos: 1 Cálculos justificativos; 2 Cálculo campos magnéticos; 3 Instalaciones auxiliares; 4 Hidrología y drenajes; 5 Telemando y control; 6 Estudio gestión de residuos); Documento nº2 Pliego de condiciones; Documento nº3 Presupuesto; Documento nº4 Planos; Documento nº5 Estudio de Seguridad y Salud";Iberdrola Distribución Eléctrica, S.A.U. (Ion González del Hoyo);Iberdrola Distribución Eléctrica, S.A.U. (Titular) / SEPES (Promotor);OFF0016-74;Proyecto técnico administrativo. Subestación transformadora de reparto 66/13,2 kV. STR La Senda (Alfaro, La Rioja);2019;Comercial;Proyecto Técnico;"Autorización Administrativa Previa; Autorización de Construcción; Licencia municipal de obras";Disponible
OFF0017;DIP_ABEI_NOR5_Ventus_v4_Reducido.pdf;2022;"España | Galicia (Lugo: Xove/Cervo; Demarcación Noratlántica NOR-5)";Completo;Permitting / tramitación;Parque eólico marino flotante + cables submarinos + subestación marina + transición mar-tierra + cable terrestre + subestación terrestre (conexión a SET Xove 400 kV);Documento Inicial de Proyecto (DIP) para iniciar la evaluación de impacto ambiental del “Parque Eólico Marino Ventus”, fechado en noviembre de 2022. Promovido por ABEI Energy & Infrastructure S.L., plantea un parque eólico marino flotante de 600 MW (40 aerogeneradores de 15 MW) dentro de la zona NOR-5 del POEM (demarcación Noratlántica), al norte de la provincia de Lugo. Describe la solución técnica y el emplazamiento, incluyendo plataformas flotantes, sistema de fondeo, infraestructura eléctrica BT/AT, cables submarinos, subestación marina, y el sistema de evacuación con transición marítimo-terrestre (arqueta, canalizaciones, empalmes), cableado terrestre y subestación terrestre, con punto de conexión a red en la SET Xove 400 kV. Incorpora diagnóstico del medio natural y socioeconómico (terrestre y marino), vulnerabilidad ante riesgos, análisis de alternativas (implantación y trazados de evacuación), evaluación preliminar de efectos e identificación de medidas y programa de seguimiento ambiental.;"1. Introducción y antecedentes; 2. Objeto del Documento Inicial de Proyecto; 3. Marco legal; 4. Justificación del proyecto; 5. Descripción del proyecto (emplazamiento, elementos: aerogeneradores, plataformas, fondeo, cables submarinos, subestación marina, transición mar-tierra, infraestructuras terrestres, O&M, desmantelamiento); 6. Vulnerabilidad ante riesgos (sísmico, climatológico, inundación, tsunamis, incendios, derrames, colisión…); 7. Diagnóstico del medio natural (terrestre y marino); 8. Diagnóstico del medio socioeconómico; 9. Análisis de alternativas (implantación y evacuación submarina/terrestre); 10. Evaluación de efectos del proyecto; 11. Medidas de protección ambiental; 12. Programa de seguimiento y control; 13. Conclusiones; 14. Referencias bibliográficas.";ECOS, Estudios Ambientales y Oceanografía, S.L.;ABEI ENERGY & INFRAESTRUCTURE S.L.;OFF0017-2;Parque eólico marino “Ventus”, de 600 MW, y su infraestructura de evacuación asociada (provincia de Lugo);2022;Comercial;Documento Inicial de Proyecto;Evaluación de Impacto Ambiental (inicio/consultas previas);Disponible
OFF0018;DIP Bandama_Rev1.pdf;2022;España | Canarias (Gran Canaria);Completo;Permitting / tramitación;Parque eólico marino (flotante) | Cable submarino | Cable terrestre | Subestación (SET);Documento Inicial de Proyecto (DIP) para iniciar la tramitación ambiental del “Proyecto Eólico Marino Bandama” en Canarias (costa sureste de Gran Canaria). Define el alcance preliminar del parque eólico marino flotante de 195 MW, basado en 13 aerogeneradores de 15 MW, describiendo los principales elementos marinos (turbinas, plataformas flotantes no definidas aún, sistema de fondeo y anclajes, cableado marino e interconexión/evacuación a 132 kV), la transición mar-tierra (zanja abierta, tracción y arqueta de transición) y los elementos terrestres (subestación en tierra, interconexión a red y línea/cable terrestre). Incluye ubicación, diagnóstico del medio natural terrestre y marino, diagnóstico territorial y socioeconómico (Red Natura 2000, usos, pesca, tráfico marítimo, servidumbres), análisis de alternativas marinas/terrestres y evaluación preliminar de efectos e impactos por fases (obra, funcionamiento y desmantelamiento), con medidas preventivas/correctoras y programa de vigilancia.;"1. Introducción y antecedentes; 2. Objeto del Documento Inicial de Proyecto; 3. Marco legal; 4. Justificación del proyecto; 5. Descripción de los elementos de proyecto (5.1 Elementos marinos; 5.2 Transición marítimo-terrestre; 5.3 Elementos terrestres; 5.4 Construcción/operaciones; 5.5 Operación y mantenimiento; 5.6 Desmantelamiento); 6. Ubicación del proyecto; 7. Diagnóstico del medio natural (terrestre y marino); 8. Diagnóstico territorial y socioeconómico; 9. Análisis de alternativas; 10. Evaluación de los efectos del proyecto; 11. Medidas para la protección del medio ambiente; 12. Programa de seguimiento y vigilancia ambiental; 13. Conclusiones; 14. Referencias";Ferrovial Infraestructuras Energéticas y Movilidad | ECOS (consultora);Ferrovial (promotor);OFF0018-2;Parque eólico marino “Bandama”, de 195 MW, y su infraestructura de evacuación (isla de Gran Canaria);2022;Comercial;Documento Inicial de Proyecto;Evaluación de Impacto Ambiental (inicio/consultas previas);Disponible
OFF0019;Documento_de_inicio_del_Parque_eolico_offshore_flotante_ANDAMANA_MAGTEL_rev2_fdo.pdf;2022;España | Canarias (Gran Canaria);Completo;Permitting / tramitación;Parque eólico marino (flotante) | Cable submarino | Cable terrestre | Subestación (conexión a red);"Documento de Inicio del Proyecto (DIP) para la instalación del Parque Eólico Marino Flotante ANDAMANA de 240 MW en Gran Canaria. Aporta la información requerida para la determinación del alcance del Estudio de Impacto Ambiental: características generales y ubicación (zona sureste; municipios principalmente Ingenio, Agüimes y Santa Lucía de Tirajana), marco normativo, justificación y descripción técnica (aerogeneradores, plataforma flotante, sistema de fondeo y evacuación eléctrica con trazado marino y tramo terrestre). Incluye análisis de vulnerabilidad ante accidentes graves o catástrofes (riesgos volcánicos, sísmicos, climatológicos, incendios, inundación y tecnológicos), inventario ambiental terrestre y marino (medio físico, biótico y socioeconómico), valoración de alternativas para parque y evacuación, identificación y valoración de impactos por fases (obras y operación, terrestre y marino) y definición de medidas preventivas/correctoras/compensatorias, además de un programa de vigilancia y seguimiento ambiental y planimetría.";"Introducción (Objeto; Marco normativo; Justificación); Descripción del proyecto (Localización; Descripción técnica: aerogenerador, plataforma, fondeo, evacuación, operaciones de instalación); Vulnerabilidad ante accidentes graves o catástrofes; Inventario ambiental (Medio terrestre; Medio marino); Valoración de alternativas (Parque; Evacuación); Posibles impactos asociados al proyecto; Medidas para la protección del medio ambiente; Programa de vigilancia y seguimiento ambiental; Planimetría";"elittoral (Dirección técnica: Rosana Álvarez Vázquez; técnicos: Jorge López Mecández, Mario Díaz Caba; coordinación: Mayte Tames-Espinosa)";Magtel (aparece en portada);OFF0019-4;Parque eólico marino flotante “Andamana”, de 240 MW, y su infraestructura de evacuación (isla de Gran Canaria, provincia de Las Palmas);2022;Comercial;Documento Inicial de Proyecto;Evaluación de Impacto Ambiental (inicio/consultas previas);Disponible
OFF0020;Ferrovial_DIP_Creus_V1_red_fdo.pdf;2022;España | Cataluña;Completo;Permitting / tramitación;Parque eólico marino (flotante) | Subestación marina | Cable marino | Transición costa-tierra | Cable/Línea terrestre | Subestación en tierra;Documento Inicial de Proyecto (DIP) para iniciar el procedimiento de evaluación de impacto ambiental ordinaria del “Proyecto Eólico Marino Creus” (Cataluña), de 510 MW (34 aerogeneradores de 15 MW). Describe el diseño preliminar del parque eólico marino flotante en la zona POEM LEB-2 (profundidades aprox. 100–200 m), incluyendo tipologías de plataformas flotantes consideradas (semisumergible, SPAR, TLP, barcaza), sistema de fondeo y anclajes, cableado de interconexión y evacuación a tierra a 132 kV y subestación marina (topside y cimentación). Detalla la transición marítimo-terrestre (zanja abierta y/o perforación horizontal dirigida, tracción y arqueta de transición) y los elementos terrestres (subestación en tierra, cableado/línea y conexión a red). Incorpora diagnóstico del medio natural terrestre y marino, diagnóstico territorial y socioeconómico (RN2000, usos, pesca, tráfico, paisaje), análisis de alternativas marinas y terrestres, evaluación preliminar de efectos por fases, medidas ambientales y programa de vigilancia.;"Índice de Figuras; Índice de Tablas; 1. Introducción y antecedentes; 2. Objeto del Documento Inicial de Proyecto; 3. Marco legal; 4. Justificación del proyecto; 5. Descripción de los elementos de proyecto (5.1 Elementos marinos: turbinas, plataforma flotante, fondeo, anclajes, cable marino, subestación marina; 5.2 Transición marítimo-terrestre: zanja abierta, PHD, tracción, arqueta; 5.3 Elementos terrestres; 5.4 Implantación; 5.5 Operación y mantenimiento; 5.6 Desmantelamiento); 6. Ubicación del proyecto; 7. Diagnóstico del medio natural (terrestre y marino); 8. Diagnóstico territorial y socioeconómico; 9. Análisis de alternativas; 10. Evaluación de los efectos del proyecto; 11. Medidas para la protección del medio ambiente; 12. Programa de seguimiento y vigilancia ambiental; 13. Conclusiones; 14. Referencias";Ferrovial Infraestructuras Energéticas y Movilidad | ECOS (consultora);Ferrovial Infraestructuras Energéticas y Movilidad;OFF0020-4;Parque eólico marino “Creus”, de 510 MW, y sus infraestructuras de evacuación (provincia de Girona);2022;Comercial;Documento Inicial de Proyecto;Evaluación de Impacto Ambiental (inicio/consultas previas);Disponible
OFF0021;Anexo_II_-_DIP_PEM_Flotante_BREOGAN-_Capital_Energy_Offshore_SL.pdf;2022 (noviembre);España | Galicia (Demarcación Noratlántica, zonas NOR-3 y NOR-4);Completo;Permitting / tramitación;Parque eólico marino (flotante) | Subestación offshore (OSS) | Cables marinos de exportación | Transición marítimo-terrestre | Línea/cable terrestre AT | Subestación en tierra (SET);Documento Inicial de Proyecto (DIP) para iniciar la Evaluación de Impacto Ambiental del Parque Eólico Marino Flotante Breogán, de 510 MW, en la costa norte de Galicia (demarcación Noratlántica, zonas NOR-3 y NOR-4). Define el emplazamiento y el layout preliminar (34 aerogeneradores de 15 MW o similar) y describe los sistemas principales: plataforma flotante (alternativas de estructura), sistema de fondeo y anclajes, cableado interno y cables de exportación, subestación offshore (OSS), corredor de evacuación hasta costa, transición marítimo-terrestre y la infraestructura terrestre asociada (arquetas, línea/cable de alta tensión y subestación de proyecto), con alternativas de punto de conexión (p. ej., SET As Pontes / Xove). Incluye planificación de construcción/instalación, operación y desmantelamiento, análisis de vulnerabilidad ante riesgos (sísmico, climatológico, inundación/tsunami, incendios, derrames/colisiones), diagnóstico del medio natural terrestre y marino y del medio socioeconómico (pesca, tráfico marítimo, RN2000, paisaje), evaluación preliminar de efectos, medidas ambientales y programa de vigilancia.;"Promotor y equipo redactor; 1. Introducción y antecedentes; 2. Objeto del DIP; 3. Marco legal; 4. Justificación; 5. Ubicación del proyecto; 6. Descripción del proyecto (6.1 Emplazamiento/layout; 6.1.4 Plataforma y fondeo; 6.2 Evacuación: cables, OSS, transición mar-tierra, infraestructuras terrestres; 6.3 Implantación: construcción/instalación; 6.4 O&M; 6.5 Desmantelamiento); 7. Vulnerabilidad ante riesgos; 8. Diagnóstico del medio natural; 9. Diagnóstico socioeconómico; 10. Análisis de alternativas; 11. Evaluación de efectos; 12. Medidas ambientales; 13. Programa de seguimiento y vigilancia; 14. Conclusiones; 15. Anexo cartográfico; 16. Referencias";ECOS Estudios Ambientales y Oceanografía (redacción) con soporte de Capital Bluewind;Capital Energy / Capital Energy Offshore SL;OFF0021-2;Parque eólico marino “Breogán”, de 510 MW, y su infraestructura de evacuación asociada (Galicia);2022;Comercial;Documento Inicial de Proyecto;Evaluación de Impacto Ambiental (inicio/consultas previas);Disponible
